citing_doi	year	title	venue	authors
10.1038/s41556-019-0408-0	2019	A MYC–GCN2–eIF2α negative feedback loop limits protein synthesis to prevent MYC-dependent apoptosis in colorectal cancer	Nature Cell Biology	Stefanie Schmidt, David Michael Gay, Friedrich Wilhelm Uthe, Sarah Denk, Madelon Paauwe, Niels Matthes, Markus E. Diefenbacher, Sheila Bryson, Fiona Warrander, Florian Erhard, Carsten Patrick Ade, Apoorva Baluapuri, Susanne Walz, René Jackstadt, Catriona A. Ford, Georgios Vlachogiannis, Nicola Valer
10.1094/phyto-05-19-0167-r	2019	A Novel Group of Rhizobium tumorigenes-Like Agrobacteria Associated with Crown Gall Disease of Rhododendron and Blueberry	Phytopathology	Nemanja Kuzmanović, Patric Behrens, Elke Idczak, Stefan Wagner, Monika Götz, Cathrin Spröer, Boyke Bunk, Jörg Overmann, Kornelia Smalla
10.3389/fmicb.2019.01883	2019	A Robust and Universal Metaproteomics Workflow for Research Studies and Routine Diagnostics Within 24 h Using Phenol Extraction, FASP Digest, and the MetaProteomeAnalyzer	Frontiers in Microbiology	Robert Heyer, Kay Schallert, Anja Büdel, Roman Zoun, Sebastian Dorl, Alexander Behne, Fabian Kohrs, Sebastian Püttker, Corina Siewert, Thilo Muth, Gunter Saake, Udo Reichl, Dirk Benndorf
10.1016/j.envint.2018.12.055	2019	A comparative metagenomic and spectroscopic analysis of soils from an international point of entry between the US and Mexico	Environment International	Keni Cota-Ruíz, Yossef López de los Santos, Jose Angel Hernandez-Viezcas, Marcos Delgado-Ríos, José R. Peralta-Videa, Jorge Luis Gardea-Torresdey
10.1038/s41418-019-0384-8	2019	A functional genetic screen defines the AKT-induced senescence signaling network	Cell Death and Differentiation	Keefe T. Chan, Shaun Blake, Haoran Zhu, Jian Kang, Anna Trigos, Piyush B. Madhamshettiwar, Jeannine Diesch, Lassi Paavolainen, Péter Horváth, Ross D. Hannan, Amee J. George, Elaine Sanij, Katherine M. Hannan, Kaylene J. Simpson, Richard B. Pearson
10.1073/pnas.1904623116	2019	A general framework for quantitatively assessing ecological stochasticity	Proceedings of the National Academy of Sciences	Daliang Ning, Ye Deng, James M. Tiedje, Jizhong Z. Zhou
10.7554/elife.42374	2019	A generally conserved response to hypoxia in iPSC-derived cardiomyocytes from humans and chimpanzees	eLife	Michelle C. Ward, Yoav Gilad
10.4103/ijmy.ijmy_106_19	2019	A multilocus sequence typing scheme for Mycobacterium abscessus complex (MAB-multilocus sequence typing) using whole-genome sequencing data	International Journal of Mycobacteriology	MeenuKaushal Sharma, Michelle Wuzinski, AnetaK Bak, Aaron Petkau, Walter Demczuk, Hafid Soualhine
10.1101/2019.12.18.880518	2019	A novel mycovirus evokes transcriptional rewiring in the fungus Malassezia and stimulates interferon-β production in macrophages	bioRxiv (Cold Spring Harbor Laboratory)	Shelly Applen Clancey, Fiorella Ruchti, Salomé LeibundGut-Landmann, Joseph Heitman, Giuseppe Ianiri
10.1111/een.12831	2019	A practical guide to DNA metabarcoding for entomological ecologists	Ecological Entomology	Mingxin Liu, Laurence J. Clarke, Susan C. Baker, Gregory J. Jordan, Christopher Paul Burridge
